id,group,addressee
b07_h033,Hymns to Indra,Vasistha
b07_h034,Hymns to All the Gods,All the Gods
b07_h035,Hymns to All the Gods,All the Gods
b07_h036,Hymns to All the Gods,All the Gods
b07_h037,Hymns to All the Gods,All the Gods
b07_h038,Hymns to All the Gods,Savitri and Other Gods
b07_h039,Hymns to All the Gods,All the Gods
b07_h040,Hymns to All the Gods,All the Gods
b07_h041,Hymns to All the Gods,Bhaga and Other Gods
b07_h042,Hymns to All the Gods,All the Gods
b07_h043,Hymns to All the Gods,All the Gods
b07_h044,Hymns to All the Gods,Dadhikra
b07_h045,Hymns to All the Gods,Savitri
b07_h046,Hymns to All the Gods,Rudra
b07_h047,Hymns to All the Gods,The Waters
b07_h048,Hymns to All the Gods,The Ribhus
b07_h049,Hymns to All the Gods,The Waters
b07_h050,Hymns to All the Gods,Diverse Gods
b07_h051,Hymns to All the Gods,Adityas
